country,1988
Afghanistan,11.5M
Angola,10.9M
Albania,3.21M
Andorra,49.4k
UAE,1.68M
Argentina,31.8M
Armenia,3.36M
Antigua and Barbuda,63.6k
Australia,16.6M
Austria,7.59M
Azerbaijan,7.08M
Burundi,5.37M
Belgium,9.92M
Benin,4.97M
Burkina Faso,8.69M
Bangladesh,107M
Bulgaria,8.99M
Bahrain,480k
Bahamas,266k
Bosnia and Herzegovina,4.41M
Belarus,10.1M
Belize,175k
Bolivia,6.84M
Brazil,144M
Barbados,258k
Brunei,241k
Bhutan,557k
Botswana,1.24M
Central African Republic,2.71M
Canada,26.9M
Switzerland,6.59M
Chile,13M
China,1.12B
Cote d'Ivoire,11.3M
Cameroon,10.7M
"Congo, Dem. Rep.",34.4M
"Congo, Rep.",2.25M
Colombia,31.1M
Comoros,422k
Cape Verde,362k
Costa Rica,2.97M
Cuba,10.4M
Cyprus,766k
Czech Republic,10.3M
Germany,78.4M
Djibouti,485k
Dominica,70.6k
Denmark,5.13M
Dominican Republic,6.86M
Algeria,24.1M
Ecuador,10M
Egypt,55.2M
Eritrea,1.94M
Spain,39M
Estonia,1.56M
Ethiopia,44.2M
Finland,4.95M
Fiji,759k
France,56.4M
"Micronesia, Fed. Sts.",97.1k
Gabon,931k
UK,57M
Georgia,5.5M
Ghana,14.6M
Guinea,6.06M
Gambia,970k
Guinea-Bissau,942k
Equatorial Guinea,440k
Greece,10.2M
Grenada,98.3k
Guatemala,8.53M
Guyana,760k
"Hong Kong, China",5.51M
Honduras,4.71M
Holy See,762
Croatia,4.81M
Haiti,6.58M
Hungary,10.4M
Indonesia,177M
India,827M
Ireland,3.53M
Iran,55.1M
Iraq,16.9M
Iceland,250k
Israel,4.31M
Italy,56.9M
Jamaica,2.35M
Jordan,3.19M
Japan,122M
Kazakhstan,16.8M
Kenya,21.4M
Kyrgyz Republic,4.31M
Cambodia,6.81M
Kiribati,71.4k
St. Kitts and Nevis,41.1k
South Korea,42.9M
Kuwait,2.13M
Lao,4.07M
Lebanon,3.45M
Liberia,2.45M
Libya,4.24M
St. Lucia,135k
Liechtenstein,28.1k
Sri Lanka,16.1M
Lesotho,1.74M
Lithuania,3.67M
Luxembourg,374k
Latvia,2.65M
Morocco,23.5M
Monaco,29.8k
Moldova,4.41M
Madagascar,11.4M
Maldives,211k
Mexico,79.7M
Marshall Islands,42.3k
North Macedonia,2.05M
Mali,8.83M
Malta,361k
Myanmar,38.6M
Montenegro,614k
Mongolia,2.08M
Mozambique,12.8M
Mauritania,1.86M
Mauritius,1.06M
Malawi,8.75M
Malaysia,16.8M
Namibia,1.21M
Niger,7.79M
Nigeria,92M
Nicaragua,3.97M
Netherlands,14.8M
Norway,4.21M
Nepal,18.6M
Nauru,9170
New Zealand,3.32M
Oman,1.59M
Pakistan,109M
Panama,2.35M
Peru,21.1M
Philippines,59.7M
Palau,14.6k
Papua New Guinea,3.71M
Poland,37.8M
North Korea,20.5M
Portugal,10M
Paraguay,3.82M
Palestine,1.98M
Qatar,411k
Romania,22.8M
Russia,147M
Rwanda,6.97M
Saudi Arabia,9.63M
Sudan,21.1M
Senegal,7.29M
Singapore,2.85M
Solomon Islands,311k
Sierra Leone,3.93M
El Salvador,5.2M
San Marino,22.8k
Somalia,7.24M
Serbia,7.88M
South Sudan,4.85M
Sao Tome and Principe,117k
Suriname,402k
Slovak Republic,5.23M
Slovenia,1.99M
Sweden,8.44M
Eswatini,800k
Seychelles,72.2k
Syria,11.8M
Chad,5.63M
Togo,3.77M
Thailand,53M
Tajikistan,5.11M
Turkmenistan,3.56M
Timor-Leste,731k
Tonga,99k
Trinidad and Tobago,1.23M
Tunisia,7.97M
Turkey,53.9M
Tuvalu,8520
Taiwan,20.2M
Tanzania,24.8M
Uganda,16.5M
Ukraine,51.7M
Uruguay,3.07M
USA,248M
Uzbekistan,19.5M
St. Vincent and the Grenadines,111k
Venezuela,18.9M
Vietnam,62.8M
Vanuatu,141k
Samoa,168k
Yemen,12.9M
South Africa,38.5M
Zambia,7.39M
Zimbabwe,9.58M
